city_id,name
Z198xZ2qZd6k,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZdAaF,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe1aF,Madrid
Z598xZ2qZe7Fe,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZ6Fde,Sevilla
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZ6aae,Madrid
Z198xZ2qZkek,Madrid
Z198xZ2qZkek,Madrid
Z598xZ2qZe6d7,Barcelona
Z198xZ2qZd6k,Barcelona
Z198xZ2qZkeF,Barcelona
Z198xZ2qZkeF,Barcelona
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z198xZ2qZk6k,Barakaldo
Z198xZ2qZk6k,Barakaldo
Z198xZ2qZkF1,Málaga
Z198xZ2qZkF1,Málaga
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZdAd1,Pamplona/Iruña
Z198xZ2qZd6k,Barcelona
Z198xZ2qZd6k,Barcelona
Z198xZ2qZAde,Madrid
Z198xZ2qZAde,Madrid
Z598xZ2qZ77dF,Barcelona
Z198xZ2qZAde,Madrid
Z198xZ2qZkek,Madrid
Z198xZ2qZkeF,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe7Fe,Barcelona
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z198xZ2qZA17,Madrid
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZdeAe,Bilbao
Z198xZ2qZF11,Barcelona
Z598xZ2qZe7v1,Madrid
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZFvA1,Madrid
Z598xZ2qZFvA1,Madrid
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z198xZ2qZkek,Madrid
Z598xZ2qZFvA1,Madrid
Z598xZ2qZFvA1,Madrid
Z598xZ2qZFvA1,Madrid
Z198xZ2qZ77F,Madrid
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z198xZ2qZF11,Barcelona
Z598xZ2qZdAd1,Pamplona/Iruña
Z198xZ2qZkek,Madrid
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZe7v1,Madrid
Z598xZ2qZe7v1,Madrid
Z598xZ2qZeeFF,Granada
Z198xZ2qZkAk,Granada
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZdAd1,Pamplona/Iruña
Z198xZ2qZkek,Madrid
Z598xZ2qZdAd1,Pamplona/Iruña
Z598xZ2qZdAd1,Pamplona/Iruña
Z198xZ2qZkek,Madrid
Z198xZ2qZkeF,Barcelona
Z198xZ2qZAde,Madrid
Z198xZ2qZdk1,Leganés
Z198xZ2qZdk1,Leganés
Z198xZ2qZ1e1,Barcelona
Z198xZ2qZkek,Madrid
Z598xZ2qZ6Fe1,Madrid
Z598xZ2qZ6Fe1,Madrid
Z198xZ2qZkek,Madrid
Z198xZ2qZkek,Madrid
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z198xZ2qZdA1,Barcelona
Z198xZ2qZdA1,Barcelona
Z198xZ2qZdA1,Barcelona
Z198xZ2qZdA1,Barcelona
Z598xZ2qZe6d7,Barcelona
Z198xZ2qZd6k,Barcelona
Z198xZ2qZkeF,Barcelona
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZ6Fe1,Madrid
Z598xZ2qZ6Fe1,Madrid
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6kF,A Coruña
Z198xZ2qZkek,Madrid
Z198xZ2qZkek,Madrid
Z598xZ2qZ6Fde,Sevilla
Z598xZ2qZe6kF,A Coruña
Z598xZ2qZe6d7,Barcelona
Z198xZ2qZkek,Madrid
Z198xZ2qZkek,Madrid
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe6d7,Barcelona
Z598xZ2qZe7v1,Madrid
Z598xZ2qZe7v1,Madrid
Z598xZ2qZe6d7,Barcelona
